,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
14/10/2020,57704.59476,57997.05469,57524.61941,57974.55778,122598,108756,2011
15/10/2020,57805.83089,57850.82473,57457.12866,57659.60092,120308,107577,2011
16/10/2020,57524.61941,58267.01771,57378.38945,57895.81856,123975,105515,2011
19/10/2020,57805.83089,58019.55161,57524.61941,57558.36479,113757,102002,2011
20/10/2020,58042.04853,58042.04853,57614.60709,57794.58243,83251,96084,2011
21/10/2020,58267.01771,59054.40984,58154.53312,58660.71378,144748,93846,2011
22/10/2020,58896.93142,59369.36669,58660.71378,58806.94374,106873,87199,2011
23/10/2020,58458.24151,58829.44066,58267.01771,58401.99922,78476,75933,2011
26/10/2020,58581.87063,58604.35456,58210.88584,58244.61173,83535,115180,2012
27/10/2020,57873.62694,58132.1921,57761.20731,58064.74032,102907,114309,2012
28/10/2020,58087.22425,58323.30548,57839.90105,58278.33762,92563,113231,2012
29/10/2020,57603.81983,58008.5305,57502.64216,57862.38498,128203,112572,2012
30/10/2020,57502.64216,57873.62694,57142.89933,57266.56093,146943,116208,2012
2/11/2020,57390.22252,57671.27161,57019.23774,57412.70645,114844,114199,2012
3/11/2020,57502.64216,58244.61173,57502.64216,58233.36977,111175,112583,2012
4/11/2020,58244.61173,58413.24118,57806.17516,58019.77247,122141,109820,2012
5/11/2020,57839.90105,58177.15995,57693.75553,57806.17516,96483,108580,2012
6/11/2020,57839.90105,58098.46621,57716.23946,57817.41713,78755,107751,2012
9/11/2020,58334.54744,58728.01615,58210.88584,58278.33762,126705,108510,2012
10/11/2020,58885.40364,59143.96879,57974.80461,57997.28854,127885,105402,2012
11/11/2020,57907.35283,58491.93492,57794.9332,58413.24118,91032,104027,2012
12/11/2020,58357.03137,58379.51529,57963.56265,58233.36977,79940,102657,2012
13/11/2020,58357.03137,58705.53223,58244.61173,58660.56437,88755,105742,2012
16/11/2020,58581.87063,60481.76242,58581.87063,60301.89101,190833,116133,2012
17/11/2020,60166.98745,60234.43923,59211.42057,59413.77591,130810,100987,2012
18/11/2020,59267.63039,59571.1634,58728.01615,59526.19555,103527,91665,2012
19/11/2020,59413.77591,59649.85714,59020.3072,59200.17861,68506,83649,2012
20/11/2020,59188.93665,60065.80978,58952.85542,60043.32586,69062,78308,2012
23/11/2020,60537.97224,61145.03826,60245.6812,60571.69813,88375,72867,2012
24/11/2020,60380.58475,61549.74894,60211.95531,61459.81323,65899,67937,2012
25/11/2020,61583.24904,61830.12067,61055.84148,61212.9416,171496,157016,2101
26/11/2020,61055.84148,62155.54235,61033.3986,62065.77085,154194,166139,2101
27/11/2020,61897.44929,63042.03592,61818.89923,62974.70729,172868,167810,2101
30/11/2020,63008.37161,64848.68736,62907.37867,64725.25154,276208,156167,2101
1/12/2020,64657.92292,65061.89467,63535.77917,64007.07954,271479,138485,2101
2/12/2020,64175.40111,64871.13023,63793.87223,64186.62254,202365,136378,2101
3/12/2020,63793.87223,64332.50123,63401.12192,63816.31511,193370,130455,2101
4/12/2020,64130.51536,64657.92292,63636.77211,64467.15848,223643,128637,2101
7/12/2020,64242.72973,64916.01598,63917.30804,63995.85811,185716,121197,2101
8/12/2020,63939.75092,64310.05836,63737.76504,63883.64373,113818,115123,2101
9/12/2020,63692.87929,64500.82279,63591.88636,64242.72973,126621,114105,2101
10/12/2020,64141.73679,64489.60136,63726.54361,64467.15848,122092,108389,2101
11/12/2020,64422.27273,66442.13148,64085.62961,64893.57311,280050,102568,2101
14/12/2020,64691.58723,65140.44473,64209.06542,64916.01598,149246,98380,2101
15/12/2020,64826.24448,64938.45886,64354.94411,64747.69442,94628,93028,2101
16/12/2020,64781.35873,65297.54486,64534.48711,64916.01598,109766,88776,2101
17/12/2020,65106.78042,65847.39529,64927.23742,65780.06667,96247,87961,2101
18/12/2020,65791.28811,66767.55317,65679.07373,66498.23867,117085,83503,2101
21/12/2020,66487.01723,66745.1103,65903.50248,66374.80286,87499,72731,2101
22/12/2020,65658.2058,66027.70116,64807.24678,64829.64044,184763,114467,2102
23/12/2020,64941.60873,65031.18337,63978.68143,64773.6563,167233,114908,2102
24/12/2020,64896.82142,65479.05653,64863.23093,65087.16751,111868,116005,2102
25/12/2020,64986.39605,65680.59945,64684.08166,65568.63116,84668,117317,2102
28/12/2020,65501.45019,66296.42505,65277.51361,65803.76457,117109,121597,2102
29/12/2020,65826.15823,66061.29164,64964.00239,65143.15166,130352,117052,2102
30/12/2020,65277.51361,65702.99311,65008.78971,65479.05653,123639,113719,2102
31/12/2020,65143.15166,65322.30092,64527.32606,64661.68801,136664,105758,2102
4/1/2021,64661.68801,65277.51361,64583.3102,65120.758,82919,96881,2102
5/1/2021,65187.93897,65557.43433,64616.90069,65064.77385,103527,96490,2102
6/1/2021,65120.758,66374.80286,65042.3802,66094.88213,120470,97891,2102
7/1/2021,66430.787,66677.11724,65747.78043,66486.77115,114651,95867,2102
